Mass,RT
276.9641,4.82
277,4.8
277.0006,7.76
277.1314,2.7
277.1472,8.51
277.1679,4.57
277.2118,9.18
277.9481,4.65
277.9482,2.79
277.9486,3.85
277.9626,1.13
277.9851,2.52
277.9989,4.52
278.08,1.1
278.08,2.68
278.1154,1.16
278.1154,2.73
278.136,2.54
278.1514,4.68
278.1515,5.69
278.1516,3.61
278.1516,6.59
278.1714,3.63
278.1881,5.63
278.1881,6.69
278.1893,10.56
278.1895,3.99
278.1904,4.66
278.1908,7.19
278.2239,10.44
278.2241,9.86
278.9963,7.76
279.1188,1.31
279.122,2.98
279.147,2.98
279.1529,3.53
279.1923,6.83
279.2275,9.85
279.2558,10.6
279.2957,10.59
279.2987,10.57
279.9295,5.71
279.9535,4.57
279.9641,3.11
279.9693,4.84
279.978,4.63
280.0591,1.11
280.0948,1.1
280.0951,2.53
280.1132,2.7
280.1308,1.15
280.1308,8.06
280.1309,2.67
280.1309,3.25
280.1309,4.53
280.1326,5.07
280.1336,6.12
280.1456,6.86
280.1505,3.35
280.1671,4.59
280.1671,4.95
280.1704,8.02
280.1883,7.22
280.1885,10.57
280.2026,6.38
280.2026,10.5
280.2398,10.62
280.2575,10.6
280.9249,6.02
280.952,4.76
280.9528,3.94
280.9744,5.24
280.9814,4.63
281.0923,1.12
281.1269,2.5
281.1331,2.61
281.1341,3.38
281.1349,8.06
281.1984,6.84
281.2716,8.5
281.4534,4.75
281.9378,8.84
281.9506,4.74
281.9536,4.56
281.9594,4.52
281.9901,2.55
281.9901,4.55
281.9901,5.45
282.0335,4.05
282.0747,1.11
282.0769,10.99
282.1101,1.11
282.1101,2.69
282.1108,4.19
282.1275,2.46
282.1282,5.67
282.1421,6.04
282.1463,2.65
282.1464,3.36
282.1481,4.98
282.1804,8.26
282.1823,10.56
282.1828,5.63
282.2506,10.65
282.2551,10.59
282.2556,8.98
282.2556,9.22
282.4519,4.75
282.9499,4.76
283.077,7.79
283.0914,1.07
283.1112,2.45
283.1132,3.08
283.1497,4.07
283.1731,4.73
283.1862,5.78
283.1905,1.04
283.2587,10.61
283.259,9
283.6747,4.76
283.9553,4.59
283.9892,6.63
284.0504,3.79
284.0509,3.23
284.0723,2.51
284.0758,7.79
284.0815,3.46
284.0895,2.56
284.0896,1.09
284.1054,3.92
284.1105,4.57
284.1258,2.67
284.1259,1.11
284.1263,3.45
284.1443,6.85
284.1598,8.26
284.162,4
284.1984,5.93
284.1984,10.56
284.1985,5.67
284.2353,8.19
284.271,8.95
284.2711,9.91
284.2711,10.68
285.0093,4.16
285.0889,1.14
285.1287,1.11
285.1599,4.25
285.1652,3.86
285.2018,5.98
285.2745,10.7
285.2746,9
285.9853,5.45
285.9853,6.22
286.0465,3.78
286.0685,1.11
286.0799,3.49
286.0843,5.27
286.0864,4.02
286.0875,2.62
286.097,3.6
286.1051,1.08
286.1051,2.62
286.121,4.38
286.1215,3.62
286.1412,1.12
286.1412,2.88
286.1774,4.45
286.1775,4.18
286.189,2.46
286.205,5.96
286.2082,6.05
286.2132,6.18
286.2134,5.64
286.2138,5.06
286.2143,7.93
286.2501,9.51
286.2503,8.02
286.2504,8.76
286.2776,10.73
286.9519,5.02
286.9885,5.46
287.0061,4.16
287.0811,2.4
287.1208,2.42
287.1438,2.43
287.1442,3.43
287.1752,3.63
287.2087,3.76
287.2096,6.02
287.2163,6.24
287.2455,10.07
287.9674,4.75
287.9763,1.1
287.9832,5.54
287.9917,5.45
288.0402,3.8
288.064,1.14
288.064,2.57
288.0841,1.1
288.095,3.59
288.1009,3.61
288.101,2.95
288.1087,3.05
288.1206,1.1
288.1211,2.45
288.1359,6.54
288.1361,2.42
288.1365,3.72
288.1367,5.16
288.1567,4.2
288.1568,3.43
288.1724,5.88
288.173,4.01
288.1925,4.98
288.2085,10.61
288.2127,6.77
288.2296,4.89
288.2298,5.82
288.2298,6.67
288.2298,7.49
288.2298,9.84
288.9377,4.71
288.949,5.05
288.9986,4.33
289.1392,6.53
289.1422,2.38
289.1424,3.58
289.2113,9.14
289.2313,9.84
289.4552,5.45
289.9362,4.77
289.9749,5.56
289.9844,4
289.9985,4.8
290.0456,4.96
290.0806,1.11
290.0818,3.57
290.1159,3.12
290.1512,3.74
290.172,3.91
290.1724,4.93
290.1878,5.87
290.188,6.89
